V101	countyfips	countyname
360966789.0	26081	"Kent MI"
361034412.0	40023	"Choctaw OK"
360979819.0	18097	"Marion IN"
361057841.0	13077	"Coweta GA"
360995445.0	04013	"Maricopa AZ"
361007630.0	06093	"Siskiyou CA"
360985954.0	48085	"Collin TX"
359961946.0	42043	"Dauphin PA"
361001705.0	12005	"Bay FL"
361007137.0	06019	"Fresno CA"
360994850.0	53033	"King WA"
359351306.0	16039	"Elmore ID"
361058107.0	53061	"Snohomish WA"
361053472.0	12031	"Duval FL"
359967044.0	06059	"Orange CA"
361015023.0	26081	"Kent MI"
361038968.0	06081	"San Mateo CA"
361098997.0	42011	"Berks PA"
361063424.0	54039	"Kanawha WV"
360976562.0	42091	"Montgomery PA"
361422512.0	40109	"Oklahoma OK"
360976954.0	48485	"Wichita TX"
360994006.0	42091	"Montgomery PA"
360896338.0	48141	"El Paso TX"
360962591.0	12099	"Palm Beach FL"
360994895.0	26163	"Wayne MI"
361291947.0	55055	"Jefferson WI"
360988038.0	27123	"Ramsey MN"
360875608.0	27053	"Hennepin MN"
360984426.0	25017	"Middlesex MA"
361001202.0	42003	"Allegheny PA"
360986959.0	42073	"Lawrence PA"
361154748.0	48439	"Tarrant TX"
360993925.0	51059	"Fairfax VA"
361001399.0	32003	"Clark NV"
363376709.0	08059	"Jefferson CO"
360981531.0	06059	"Orange CA"
360942212.0	47185	"White TN"
361031414.0	49035	"Salt Lake UT"
360974878.0	01033	"Colbert AL"
360986180.0	19127	"Marshall IA"
360903600.0	06087	"Santa Cruz CA"
360990258.0	41029	"Jackson OR"
361013547.0	41003	"Benton OR"
360974993.0	48113	"Dallas TX"
361007817.0	01089	"Madison AL"
360981229.0	39099	"Mahoning OH"
360985620.0	42071	"Lancaster PA"
361000611.0	42019	"Butler PA"
361149208.0	21117	"Kenton KY"
360985916.0	41043	"Linn OR"
362854615.0	06037	"Los Angeles CA"
361158508.0	28025	"Clay MS"
360985336.0	48201	"Harris TX"
360909856.0	19061	"Dubuque IA"
361036671.0	48029	"Bexar TX"
361196072.0	20091	"Johnson KS"
361019168.0	53001	"Adams WA"
360895402.0	55087	"Outagamie WI"
361033533.0	37081	"Guilford NC"
361146158.0	48085	"Collin TX"
360986013.0	36059	"Nassau NY"
361395047.0	39043	"Erie OH"
360990839.0	36067	"Onondaga NY"
361060998.0	20177	"Shawnee KS"
361859857.0	48201	"Harris TX"
361017343.0	12085	"Martin FL"
360967626.0	12009	"Brevard FL"
360976703.0	42125	"Washington PA"
362762062.0	34007	"Camden NJ"
361015348.0	29095	"Jackson MO"
361291929.0	17143	"Peoria IL"
362853878.0	42055	"Franklin PA"
360880083.0	48029	"Bexar TX"
361196468.0	12057	"Hillsborough FL"
362905264.0	51153	"Prince William VA"
361050521.0	06065	"Riverside CA"
361284396.0	12009	"Brevard FL"
360976689.0	12057	"Hillsborough FL"
361064657.0	48439	"Tarrant TX"
361001330.0	55079	"Milwaukee WI"
360976860.0		""
361249983.0	29133	"Mississippi MO"
361002328.0	13113	"Fayette GA"
361018051.0	06085	"Santa Clara CA"
361077386.0	12081	"Manatee FL"
361053524.0	42017	"Bucks PA"
360988565.0	28003	"Alcorn MS"
361014889.0	12035	"Flagler FL"
360901129.0	01015	"Calhoun AL"
361061535.0	27053	"Hennepin MN"
360050454.0	51127	"New Kent VA"
361023271.0	26043	"Dickinson MI"
360967081.0	04013	"Maricopa AZ"
361391855.0	09003	"Hartford CT"
361359788.0	37021	"Buncombe NC"
360967969.0	12009	"Brevard FL"
361002075.0	26093	"Livingston MI"
361014703.0	54069	"Ohio WV"
360999908.0	29047	"Clay MO"
361279456.0	49049	"Utah UT"
361006551.0	47157	"Shelby TN"
360966746.0	12095	"Orange FL"
360974497.0	17113	"McLean IL"
361072970.0	36055	"Monroe NY"
361294677.0	36103	"Suffolk NY"
361058159.0	42045	"Delaware PA"
360914497.0	29183	"St. Charles MO"
361048465.0	29510	"St. Louis city MO"
360986015.0	39133	"Portage OH"
361055322.0	26075	"Jackson MI"
361043588.0	17031	"Cook IL"
360999944.0	24031	"Montgomery MD"
361002520.0	24013	"Carroll MD"
360875976.0	15003	"Honolulu HI"
360688986.0	24003	"Anne Arundel MD"
360912495.0	27139	"Scott MN"
361041450.0	26093	"Livingston MI"
360045027.0	22019	"Calcasieu Parish LA"
361050672.0	42071	"Lancaster PA"
361003901.0	13215	"Muscogee GA"
361000889.0	48453	"Travis TX"
360963533.0	20177	"Shawnee KS"
360968063.0	53061	"Snohomish WA"
361009840.0	34027	"Morris NJ"
360963140.0	12083	"Marion FL"
361036148.0	26161	"Washtenaw MI"
361052238.0	37135	"Orange NC"
361023533.0	06089	"Shasta CA"
361003838.0	12119	"Sumter FL"
361007727.0	06089	"Shasta CA"
360962225.0	39049	"Franklin OH"
361134304.0	42091	"Montgomery PA"
361020819.0	51003	"Albemarle VA"
363100956.0	39095	"Lucas OH"
361427795.0	48473	"Waller TX"
360996725.0	35001	"Bernalillo NM"
361009769.0	51800	"Suffolk city VA"
361047295.0	12009	"Brevard FL"
361144033.0	44009	"Washington RI"
360982953.0	36091	"Saratoga NY"
361007160.0	36047	"Kings NY"
360994758.0	47065	"Hamilton TN"
360999029.0	12015	"Charlotte FL"
361259968.0	31079	"Hall NE"
360984547.0	51087	"Henrico VA"
361007562.0	48029	"Bexar TX"
361059682.0	42101	"Philadelphia PA"
361001859.0	47009	"Blount TN"
360968309.0	31153	"Sarpy NE"
360861090.0	06073	"San Diego CA"
360997097.0	42133	"York PA"
361050488.0	12103	"Pinellas FL"
360985612.0	24013	"Carroll MD"
361193861.0	16027	"Canyon ID"
363147014.0	18089	"Lake IN"
360050317.0	13121	"Fulton GA"
361252094.0	35001	"Bernalillo NM"
360980053.0	18063	"Hendricks IN"
360994633.0	48039	"Brazoria TX"
360985402.0	16027	"Canyon ID"
362863142.0	29183	"St. Charles MO"
360906286.0	48201	"Harris TX"
361209850.0	36049	"Lewis NY"
360997488.0	48453	"Travis TX"
360943791.0	55059	"Kenosha WI"
361144277.0	06037	"Los Angeles CA"
361119250.0	42091	"Montgomery PA"
360724010.0	42121	"Venango PA"
361061288.0	41051	"Multnomah OR"
361033842.0	42095	"Northampton PA"
361023450.0	19153	"Polk IA"
361024504.0	06065	"Riverside CA"
360994065.0	39035	"Cuyahoga OH"
360860844.0	12057	"Hillsborough FL"
360984477.0	13051	"Chatham GA"
360962904.0	13121	"Fulton GA"
360987456.0	39169	"Wayne OH"
361007696.0	26019	"Benzie MI"
361034164.0	26093	"Livingston MI"
361305249.0	42049	"Erie PA"
360973783.0	46099	"Minnehaha SD"
360984545.0	13089	"DeKalb GA"
362546796.0	34023	"Middlesex NJ"
361239832.0	18061	"Harrison IN"
361051093.0	36069	"Ontario NY"
361049520.0	13135	"Gwinnett GA"
361122438.0	09003	"Hartford CT"
361207451.0	42107	"Schuylkill PA"
361003832.0	32003	"Clark NV"
360985486.0	53051	"Pend Oreille WA"
361001696.0	37135	"Orange NC"
361004465.0	31055	"Douglas NE"
361319399.0	12086	"Miami-Dade FL"
360880025.0	53033	"King WA"
361678836.0	27003	"Anoka MN"
360981374.0	04013	"Maricopa AZ"
360981665.0	06065	"Riverside CA"
361044268.0	51710	"Norfolk city VA"
360989118.0	48201	"Harris TX"
361382389.0	48201	"Harris TX"
360989590.0	41039	"Lane OR"
361077313.0	13057	"Cherokee GA"
361200410.0	37001	"Alamance NC"
361339749.0	23011	"Kennebec ME"
361154681.0	13055	"Chattooga GA"
360875459.0	12057	"Hillsborough FL"
362854509.0	04019	"Pima AZ"
360018131.0	12083	"Marion FL"
360967237.0	42029	"Chester PA"
360884954.0	04013	"Maricopa AZ"
360943562.0	42041	"Cumberland PA"
360998165.0	32031	"Washoe NV"
361033893.0	36097	"Schuyler NY"
360034040.0	42009	"Bedford PA"
360998342.0	34025	"Monmouth NJ"
361050302.0	26163	"Wayne MI"
361044164.0	51041	"Chesterfield VA"
361145978.0	48491	"Williamson TX"
360911937.0	06037	"Los Angeles CA"
361016816.0	47037	"Davidson TN"
361203029.0	53053	"Pierce WA"
360974389.0	53063	"Spokane WA"
360905603.0	48057	"Calhoun TX"
360981426.0	53033	"King WA"
360988327.0	26093	"Livingston MI"
361298471.0	26163	"Wayne MI"
361047128.0	29186	"Ste. Genevieve MO"
360871062.0	42079	"Luzerne PA"
361199252.0	22103	"St. Tammany Parish LA"
361001653.0	37093	"Hoke NC"
361058234.0	40143	"Tulsa OK"
360917094.0	24510	"Baltimore city MD"
360986017.0	48111	"Dallam TX"
360895483.0	39025	"Clermont OH"
360984246.0	25025	"Suffolk MA"
361025876.0	06075	"San Francisco CA"
361477147.0	12103	"Pinellas FL"
360992724.0	53033	"King WA"
361542514.0	20155	"Reno KS"
361001532.0	36061	"New York NY"
361429046.0	42089	"Monroe PA"
361260034.0	34003	"Bergen NJ"
360997052.0	39153	"Summit OH"
361176615.0	06041	"Marin CA"
361155206.0	37037	"Chatham NC"
360993787.0	12099	"Palm Beach FL"
360991060.0	22105	"Tangipahoa Parish LA"
361009754.0	12095	"Orange FL"
363469716.0	53009	"Clallam WA"
360871251.0	12117	"Seminole FL"
360041899.0	35017	"Grant NM"
361028502.0	27045	"Fillmore MN"
360975127.0	37101	"Johnston NC"
361028240.0	48039	"Brazoria TX"
360993501.0	19019	"Buchanan IA"
360035299.0	48209	"Hays TX"
361375336.0	48091	"Comal TX"
361044316.0	53067	"Thurston WA"
360674502.0	28007	"Attala MS"
360981875.0	51730	"Petersburg city VA"
361044674.0	55009	"Brown WI"
360985463.0	06073	"San Diego CA"
360920033.0	54039	"Kanawha WV"
361002498.0	29081	"Harrison MO"
360995763.0	18097	"Marion IN"
361064440.0	12061	"Indian River FL"
361031188.0	26163	"Wayne MI"
361516744.0	13135	"Gwinnett GA"
361044697.0	18069	"Huntington IN"
361768533.0	32003	"Clark NV"
361348814.0	36055	"Monroe NY"
361526115.0	32003	"Clark NV"
361163910.0	09009	"New Haven CT"
360976240.0	04019	"Pima AZ"
359440118.0	08041	"El Paso CO"
360941969.0	13067	"Cobb GA"
360989262.0	36057	"Montgomery NY"
360981413.0	17031	"Cook IL"
361036403.0	13113	"Fayette GA"
360997065.0	48039	"Brazoria TX"
362854630.0	28045	"Hancock MS"
360961396.0	55025	"Dane WI"
361053205.0	37151	"Randolph NC"
361037120.0	28059	"Jackson MS"
361000486.0	40143	"Tulsa OK"
361568290.0	17089	"Kane IL"
360993825.0	17133	"Monroe IL"
361169167.0	17031	"Cook IL"
361316980.0	19193	"Woodbury IA"
361004054.0	51087	"Henrico VA"
359941105.0	39057	"Greene OH"
360651652.0	12061	"Indian River FL"
361039201.0	25027	"Worcester MA"
360050385.0	25001	"Barnstable MA"
360995752.0	51059	"Fairfax VA"
361017808.0	29099	"Jefferson MO"
361041675.0	51095	"James City VA"
361053812.0	28105	"Oktibbeha MS"
361067426.0	17031	"Cook IL"
361055058.0	06061	"Placer CA"
360990303.0	44009	"Washington RI"
361107982.0	55005	"Barron WI"
360969135.0	36019	"Clinton NY"
360969133.0	29189	"St. Louis MO"
361526820.0	25017	"Middlesex MA"
361205092.0	42003	"Allegheny PA"
360988191.0	25017	"Middlesex MA"
359948620.0	06097	"Sonoma CA"
361577619.0	42121	"Venango PA"
361009309.0	27145	"Stearns MN"
360890229.0	06075	"San Francisco CA"
363100958.0	48439	"Tarrant TX"
360962130.0	37129	"New Hanover NC"
361033563.0	39035	"Cuyahoga OH"
360860953.0	28033	"DeSoto MS"
361314659.0	40109	"Oklahoma OK"
360654365.0	42003	"Allegheny PA"
361040575.0	22097	"St. Landry Parish LA"
361001509.0	18005	"Bartholomew IN"
360982332.0	04013	"Maricopa AZ"
360979879.0	45079	"Richland SC"
361036682.0	27123	"Ramsey MN"
361020304.0	24021	"Frederick MD"
361464234.0	29189	"St. Louis MO"
361028279.0	47021	"Cheatham TN"
360024451.0	29095	"Jackson MO"
360980067.0	34031	"Passaic NJ"
361003893.0	36081	"Queens NY"
359986384.0	35001	"Bernalillo NM"
360989699.0	06075	"San Francisco CA"
361047543.0	34013	"Essex NJ"
362861738.0	17097	"Lake IL"
361507923.0	08035	"Douglas CO"
361053546.0	06085	"Santa Clara CA"
361072193.0	06059	"Orange CA"
361754095.0	26163	"Wayne MI"
359947678.0	27037	"Dakota MN"
361507866.0	06001	"Alameda CA"
361025553.0	53061	"Snohomish WA"
360986271.0	06097	"Sonoma CA"
360989880.0	04013	"Maricopa AZ"
360963444.0	17043	"DuPage IL"
361448688.0	34031	"Passaic NJ"
360900917.0	54011	"Cabell WV"
362823073.0	16027	"Canyon ID"
361307616.0	42015	"Bradford PA"
361028088.0	25003	"Berkshire MA"
360963002.0	22105	"Tangipahoa Parish LA"
361170311.0	53011	"Clark WA"
361000537.0	12001	"Alachua FL"
361025869.0	51107	"Loudoun VA"
361023538.0	36093	"Schenectady NY"
361014907.0	06061	"Placer CA"
362854863.0	17077	"Jackson IL"
361288797.0	46013	"Brown SD"
361025361.0	48029	"Bexar TX"
360994391.0	04013	"Maricopa AZ"
361000681.0	25017	"Middlesex MA"
361264954.0	39009	"Athens OH"
361058822.0	06085	"Santa Clara CA"
361017645.0	04019	"Pima AZ"
360967879.0	36017	"Chenango NY"
360877901.0	12009	"Brevard FL"
361011869.0	27123	"Ramsey MN"
361259456.0	32003	"Clark NV"
361485076.0	12031	"Duval FL"
360639640.0	45071	"Newberry SC"
360993579.0	39135	"Preble OH"
361030851.0	21169	"Metcalfe KY"
360885180.0	36119	"Westchester NY"
360038865.0	48441	"Taylor TX"
361026070.0	36087	"Rockland NY"
360895967.0	37171	"Surry NC"
359972709.0	10001	"Kent DE"
363550928.0	13135	"Gwinnett GA"
360941963.0	42071	"Lancaster PA"
361055151.0	55025	"Dane WI"
360790606.0	05119	"Pulaski AR"
359682231.0	05125	"Saline AR"
360979640.0	44007	"Providence RI"
361182320.0	37129	"New Hanover NC"
361056076.0	18091	"La Porte IN"
359780308.0	42003	"Allegheny PA"
361071830.0	54015	"Clay WV"
360991816.0	06085	"Santa Clara CA"
360978879.0	06037	"Los Angeles CA"
361037064.0	13039	"Camden GA"
360942535.0	45035	"Dorchester SC"
361636912.0	21111	"Jefferson KY"
361001624.0	53011	"Clark WA"
360999915.0	21067	"Fayette KY"
360974620.0	35001	"Bernalillo NM"
360991965.0	27139	"Scott MN"
360961857.0	27053	"Hennepin MN"
362356422.0	36119	"Westchester NY"
360996836.0	39165	"Warren OH"
360024584.0	48309	"McLennan TX"
360970735.0	01117	"Shelby AL"
362786750.0	34031	"Passaic NJ"
361722869.0	42071	"Lancaster PA"
361458069.0	17031	"Cook IL"
360984207.0	04013	"Maricopa AZ"
361345877.0	09009	"New Haven CT"
360996815.0	06073	"San Diego CA"
361023444.0	44007	"Providence RI"
362867288.0	08077	"Mesa CO"
362232949.0	04019	"Pima AZ"
360967994.0	24025	"Harford MD"
361063779.0	04027	"Yuma AZ"
360993276.0	37119	"Mecklenburg NC"
361314673.0	26147	"St. Clair MI"
361015545.0	27053	"Hennepin MN"
361176606.0	17029	"Coles IL"
361980955.0	25017	"Middlesex MA"
361209764.0	12099	"Palm Beach FL"
361028167.0	27053	"Hennepin MN"
360976171.0	48113	"Dallas TX"
361041732.0	12011	"Broward FL"
361038970.0	42037	"Columbia PA"
361316981.0	39051	"Fulton OH"
361028219.0	45035	"Dorchester SC"
359967193.0	31055	"Douglas NE"
361295978.0	08059	"Jefferson CO"
360875756.0	08059	"Jefferson CO"
361517303.0	21185	"Oldham KY"
361038946.0	04013	"Maricopa AZ"
360966891.0	06099	"Stanislaus CA"
362875439.0	41051	"Multnomah OR"
361004064.0	19103	"Johnson IA"
359981063.0	36087	"Rockland NY"
361022828.0	39151	"Stark OH"
360052839.0	12017	"Citrus FL"
362091236.0	18029	"Dearborn IN"
362172424.0	25027	"Worcester MA"
360932672.0	23019	"Penobscot ME"
360976099.0	45063	"Lexington SC"
361517186.0	48167	"Galveston TX"
361138123.0	12057	"Hillsborough FL"
360962802.0	51191	"Washington VA"
360991002.0	17043	"DuPage IL"
361017285.0	04013	"Maricopa AZ"
361965611.0	53063	"Spokane WA"
360994766.0	48309	"McLennan TX"
361015302.0	34019	"Hunterdon NJ"
361028476.0	23003	"Aroostook ME"
360985566.0	39153	"Summit OH"
360035181.0	36103	"Suffolk NY"
360974419.0	26099	"Macomb MI"
360982199.0	39155	"Trumbull OH"
361026108.0	36001	"Albany NY"
361007538.0	06079	"San Luis Obispo CA"
362442483.0	25013	"Hampden MA"
360986411.0	40017	"Canadian OK"
360967624.0	12071	"Lee FL"
361395682.0	46125	"Turner SD"
360963388.0	08069	"Larimer CO"
361012496.0	26163	"Wayne MI"
360963098.0	06059	"Orange CA"
359995191.0	51003	"Albemarle VA"
362866295.0	19153	"Polk IA"
361003857.0	48453	"Travis TX"
360890462.0	08001	"Adams CO"
360994447.0	41039	"Lane OR"
360961958.0	39109	"Miami OH"
360995357.0	08041	"El Paso CO"
360883126.0	51013	"Arlington VA"
360888120.0	37153	"Richmond NC"
360967044.0	53063	"Spokane WA"
361017822.0	42027	"Centre PA"
360953812.0	34039	"Union NJ"
361205681.0	06085	"Santa Clara CA"
363100962.0	55017	"Chippewa WI"
360998305.0	39035	"Cuyahoga OH"
360888380.0	48439	"Tarrant TX"
361378322.0	48339	"Montgomery TX"
360989581.0	35001	"Bernalillo NM"
361063422.0	06065	"Riverside CA"
361039861.0	37067	"Forsyth NC"
360981267.0	39049	"Franklin OH"
361008999.0	19065	"Fayette IA"
360039378.0	55043	"Grant WI"
361039383.0	23031	"York ME"
362301724.0	39061	"Hamilton OH"
362852983.0	26103	"Marquette MI"
361045095.0	23031	"York ME"
361019000.0	25013	"Hampden MA"
360017307.0	29019	"Boone MO"
361025962.0	40109	"Oklahoma OK"
361000912.0	41051	"Multnomah OR"
361003606.0	40145	"Wagoner OK"
361303520.0	12127	"Volusia FL"
361341319.0	12127	"Volusia FL"
361010648.0	25017	"Middlesex MA"
361037409.0	42133	"York PA"
360982253.0	06095	"Solano CA"
360990224.0	55131	"Washington WI"
360895977.0	27137	"St. Louis MN"
361128503.0	40109	"Oklahoma OK"
361036529.0	53061	"Snohomish WA"
360871013.0	36055	"Monroe NY"
361031374.0	55055	"Jefferson WI"
360968299.0	34005	"Burlington NJ"
360961120.0	13067	"Cobb GA"
360655577.0	53011	"Clark WA"
361630836.0	25017	"Middlesex MA"
360992029.0	37067	"Forsyth NC"
360943377.0	12117	"Seminole FL"
361216214.0	06073	"San Diego CA"
361297398.0	39049	"Franklin OH"
361428390.0	36047	"Kings NY"
361341671.0	36103	"Suffolk NY"
360984177.0	35055	"Taos NM"
361300113.0	36007	"Broome NY"
361003462.0	39041	"Delaware OH"
361000956.0	26125	"Oakland MI"
361062470.0	42089	"Monroe PA"
360984168.0	55079	"Milwaukee WI"
360976851.0	06111	"Ventura CA"
361035166.0	53033	"King WA"
361047524.0	51770	"Roanoke city VA"
360961836.0	35013	"Dona Ana NM"
361039374.0	42091	"Montgomery PA"
360963048.0	42087	"Mifflin PA"
360980223.0	33013	"Merrimack NH"
361023908.0	39037	"Darke OH"
361692852.0	27013	"Blue Earth MN"
360050412.0	26139	"Ottawa MI"
360982063.0	37189	"Watauga NC"
361363451.0	29099	"Jefferson MO"
361318179.0	53011	"Clark WA"
361371628.0	06037	"Los Angeles CA"
361041241.0	48285	"Lavaca TX"
362876325.0	42071	"Lancaster PA"
361018961.0	06081	"San Mateo CA"
361136691.0	25023	"Plymouth MA"
363100963.0	30063	"Missoula MT"
360943541.0	12127	"Volusia FL"
360986444.0	06037	"Los Angeles CA"
361009553.0	39035	"Cuyahoga OH"
361502461.0	06083	"Santa Barbara CA"
361052305.0	37183	"Wake NC"
362926769.0	06041	"Marin CA"
361002267.0	18063	"Hendricks IN"
361495731.0	08035	"Douglas CO"
360890390.0	04021	"Pinal AZ"
360991240.0	40017	"Canadian OK"
361047145.0	34037	"Sussex NJ"
362905330.0	42087	"Mifflin PA"
361056337.0	34003	"Bergen NJ"
361451820.0	34031	"Passaic NJ"
361016298.0	44005	"Newport RI"
361720265.0	48459	"Upshur TX"
360998117.0	06097	"Sonoma CA"
